compound_id,split,cv_fold,half_life_min,class,binary_class,data_source
CPD-0001,train,0,7.13,Unstable,1,Old
CPD-0002,train,2,82.92,Stable,0,Old
CPD-0003,external_test,,120.0,Stable,0,New
CPD-0004,train,3,4.16,Unstable,1,Old
CPD-0005,train,1,110.35,Stable,0,New
CPD-0006,train,1,120.0,Stable,0,Old
CPD-0007,train,2,41.99,Stable,0,New
CPD-0008,train,3,90.36,Stable,0,Old
CPD-0009,external_test,,120.0,Stable,0,Old
CPD-0010,train,3,88.1,Stable,0,Old
CPD-0011,train,3,35.77,Stable,0,Old
CPD-0012,external_test,,120.0,Stable,0,New
CPD-0013,train,4,120.0,Stable,0,New
CPD-0014,train,1,119.3,Stable,0,New
CPD-0018,train,3,57.16,Stable,0,Old
CPD-0019,internal_test,,35.88,Stable,0,New
CPD-0020,train,1,120.0,Stable,0,New
CPD-0021,train,4,120.0,Stable,0,Old
CPD-0022,train,4,1.88,Unstable,1,Old
CPD-0023,train,4,120.0,Stable,0,New
CPD-0024,train,4,9.54,Unstable,1,Old
CPD-0025,train,0,120.0,Stable,0,Old
CPD-0026,train,4,120.0,Stable,0,New
CPD-0027,train,0,54.5,Stable,0,Old
CPD-0028,external_test,,23.98,Unstable,1,New
CPD-0029,train,4,120.0,Stable,0,New
CPD-0030,train,0,120.0,Stable,0,New
CPD-0031,train,4,117.3,Stable,0,Old
CPD-0032,train,0,120.0,Stable,0,New
CPD-0033,train,2,120.0,Stable,0,New
CPD-0035,train,0,120.0,Stable,0,New
CPD-0036,train,4,120.0,Stable,0,New
CPD-0037,train,2,120.0,Stable,0,New
CPD-0038,train,1,104.81,Stable,0,New
CPD-0039,internal_test,,120.0,Stable,0,Old
CPD-0040,train,2,120.0,Stable,0,Old
CPD-0041,train,0,120.0,Stable,0,Old
CPD-0042,train,3,107.1,Stable,0,New
CPD-0043,train,4,120.0,Stable,0,New
CPD-0044,internal_test,,120.0,Stable,0,Old
CPD-0045,train,2,120.0,Stable,0,New
CPD-0046,train,0,120.0,Stable,0,New
CPD-0047,train,1,116.63,Stable,0,Old
CPD-0048,train,0,9.76,Unstable,1,Old
CPD-0049,train,4,80.46,Stable,0,Old
CPD-0050,train,0,96.47,Stable,0,Old
CPD-0051,train,3,120.0,Stable,0,New
CPD-0052,train,3,120.0,Stable,0,New
CPD-0053,train,0,108.61,Stable,0,New
CPD-0054,train,1,120.0,Stable,0,Old
CPD-0055,train,0,104.7,Stable,0,New
CPD-0056,internal_test,,120.0,Stable,0,New
CPD-0057,train,3,120.0,Stable,0,Old
CPD-0058,train,0,120.0,Stable,0,New
CPD-0059,train,0,120.0,Stable,0,New
CPD-0060,train,0,120.0,Stable,0,New
CPD-0061,train,1,107.12,Stable,0,New
CPD-0062,train,2,120.0,Stable,0,New
CPD-0063,train,2,108.9214638,Stable,0,New
CPD-0064,internal_test,,120.0,Stable,0,New
