compound_id,split,cv_fold,half_life_min,class,binary_class,data_source
CPD-0012,external_test,,120.0,Stable,0,New
CPD-0014,train,0,120.0,Stable,0,New
CPD-0015,train,1,120.0,Stable,0,New
CPD-0020,train,2,120.0,Stable,0,New
CPD-0023,train,4,120.0,Stable,0,New
CPD-0028,external_test,,120.0,Stable,0,New
CPD-0029,train,4,120.0,Stable,0,New
CPD-0030,train,2,110.0,Stable,0,New
CPD-0032,train,1,120.0,Stable,0,New
CPD-0033,train,0,120.0,Stable,0,New
CPD-0034,external_test,,68.87,Stable,0,New
CPD-0035,train,2,120.0,Stable,0,New
CPD-0036,train,4,103.85,Stable,0,New
CPD-0037,train,3,120.0,Stable,0,New
CPD-0042,train,2,120.0,Stable,0,New
CPD-0045,train,0,120.0,Stable,0,New
CPD-0046,train,4,120.0,Stable,0,New
CPD-0051,train,2,120.0,Stable,0,New
CPD-0053,train,4,120.0,Stable,0,New
CPD-0055,train,3,120.0,Stable,0,New
CPD-0056,train,0,120.0,Stable,0,New
CPD-0058,train,1,120.0,Stable,0,New
CPD-0059,train,3,120.0,Stable,0,New
CPD-0060,train,0,120.0,Stable,0,New
CPD-0061,train,4,120.0,Stable,0,New
CPD-0063,train,1,120.0,Stable,0,New
CPD-0064,train,0,120.0,Stable,0,New
CPD-0069,internal_test,,76.34703938,Stable,0,New
CPD-0073,train,3,105.0,Stable,0,New
CPD-0075,train,0,120.0,Stable,0,New
CPD-0078,external_test,,120.0,Stable,0,New
CPD-0080,train,1,90.31646582,Stable,0,New
CPD-0088,internal_test,,109.84,Stable,0,New
CPD-0089,train,2,86.0,Stable,0,New
CPD-0090,train,1,120.0,Stable,0,New
CPD-0092,train,0,111.36,Stable,0,New
CPD-0096,train,1,120.0,Stable,0,New
CPD-0100,train,0,111.35,Stable,0,New
CPD-0102,train,0,93.6,Stable,0,New
CPD-0103,train,1,111.05,Stable,0,New
CPD-0104,train,0,120.0,Stable,0,New
CPD-0106,train,3,120.0,Stable,0,New
CPD-0107,train,4,120.0,Stable,0,New
CPD-0109,train,0,94.72,Stable,0,New
CPD-0116,train,4,120.0,Stable,0,New
CPD-0119,train,0,95.65,Stable,0,New
CPD-0121,internal_test,,120.0,Stable,0,New
CPD-0122,train,0,120.0,Stable,0,New
CPD-0126,train,1,120.0,Stable,0,New
CPD-0128,internal_test,,120.0,Stable,0,New
CPD-0131,train,4,120.0,Stable,0,New
CPD-0133,train,3,120.0,Stable,0,New
